Município,PESO X IDADE / Peso Muito Baixo para a Idade,PESO X ALTURA / Magreza acentuada,ALTURA X IDADE / Altura Muito Baixa para a Idade,IMC X IDADE / Magreza acentuada
IPAPORANGA,0.68%,1.37%,3.25%,2.39%
IPAUMIRIM,1.66%,2.17%,10.98%,3.83%
IPU,1.31%,3.16%,11.02%,4.37%
IPUEIRAS,0.54%,2.43%,5.67%,3.85%
IRACEMA,0.75%,2.87%,4.49%,4.64%
IRAUCUBA,0.74%,1.37%,5.22%,2.16%
ITAICABA,1%,2%,2.99%,2.74%
ITAITINGA,1.36%,2.73%,5.04%,3.75%
ITAPAGE,0.75%,2.57%,4.32%,3.93%
ITAPIPOCA,0.61%,1.24%,3.15%,1.78%
ITAPIUNA,1.34%,1.19%,4.9%,2.23%
ITAREMA,1.99%,3.47%,5.8%,5.34%
ITATIRA,0.13%,0.51%,1.67%,0.51%
JAGUARETAMA,0.54%,1.94%,10.09%,2.68%
JAGUARIBARA,0.76%,0.97%,5.73%,3.24%
JAGUARIBE,0.16%,0.33%,3.34%,0.41%
JAGUARUANA,0.62%,1.25%,3.52%,2.23%
JARDIM,0.88%,2.64%,7.78%,3.86%
JATI,0.75%,1.89%,4.89%,2.63%
JIJOCA DE JERICOACOARA,0.4%,1.27%,4.3%,1.79%
JUAZEIRO DO NORTE,0.7%,1.76%,5.02%,2.35%
JUCAS,0.96%,1.24%,4.53%,1.99%
LAVRAS DA MANGABEIRA,1.13%,2.62%,5.58%,4.03%
LIMOEIRO DO NORTE,0.44%,1.6%,2.71%,2.61%
MADALENA,0.53%,2.95%,5.06%,3.79%
MARACANAU,1.34%,3.58%,6.09%,4.79%
MARANGUAPE,0.69%,2.92%,5.01%,4.15%
MARCO,0.86%,1.11%,5.62%,1.54%
MARTINOPOLE,0.22%,0.67%,4.6%,1.12%
MASSAPE,0.55%,1.76%,4.7%,2.31%
MAURITI,0.3%,2.58%,6.02%,3.64%
MERUOCA,0.87%,1.45%,6.09%,2.75%
MILAGRES,3.56%,1.69%,12.42%,2.39%
MILHA,0.52%,2.22%,6.39%,2.74%
MIRAIMA,0.81%,2.19%,4.97%,2.77%
MISSAO VELHA,0.99%,1.89%,4.77%,2.79%
MOMBACA,0.39%,1.41%,5.09%,1.99%
MONSENHOR TABOSA,1.13%,1.51%,4.16%,2.39%
MORADA NOVA,0.7%,1.31%,3.46%,2.81%
MORAUJO,0.77%,1.55%,11.75%,2.5%
MORRINHOS,0.38%,2.1%,5.82%,4.39%
MUCAMBO,0.42%,0.74%,4.48%,1.82%
MULUNGU,0.35%,2.43%,3.99%,2.77%
NOVA OLINDA,0.85%,1.52%,3.89%,1.8%
NOVA RUSSAS,0.55%,1.32%,3.32%,2.08%
NOVO ORIENTE,0.63%,0.91%,3.44%,1.63%
OCARA,0.33%,1.3%,4.31%,2.28%
OROS,0.6%,1.71%,4.41%,2.61%
PACAJUS,1.29%,3.1%,4.99%,3.74%
PACATUBA,0.74%,4.47%,5.43%,6.1%
PACOTI,0.31%,1.69%,8.62%,3.23%
PACUJA,-,1.17%,3.11%,1.95%
PALHANO,0.38%,1.54%,4.62%,1.73%
PALMACIA,0.89%,2.48%,7.98%,4.96%
PARACURU,0.34%,1.64%,3.48%,1.93%
PARAIPABA,0.74%,3.98%,8.42%,5.32%
PARAMBU,0.79%,2.52%,8.74%,3.37%
PARAMOTI,0.69%,1.72%,4.8%,3.43%
PEDRA BRANCA,0.68%,1.52%,5.71%,2.78%
PENAFORTE,0.49%,1.98%,3.62%,3.13%
PENTECOSTE,0.81%,1.62%,4.57%,2.72%
PEREIRO,0.37%,2.39%,5.08%,3.72%
PINDORETAMA,0.97%,18%,4.11%,22.35%
PIQUET CARNEIRO,0.14%,0.14%,3.05%,0.28%
PIRES FERREIRA,0.18%,0.74%,1.84%,1.1%
PORANGA,-,1.04%,5.17%,2.41%
PORTEIRAS,0.54%,2.07%,5.4%,3.24%
POTENGI,0.49%,1.71%,10.49%,2.68%
POTIRETAMA,0.94%,1.25%,6.25%,2.5%
QUITERIANOPOLIS,1.41%,2.7%,8.6%,3.72%
QUIXADA,1%,2.44%,4.99%,3.48%
QUIXELO,0.69%,2.53%,4.36%,3.33%
QUIXERAMOBIM,0.84%,2.23%,7.69%,3.62%
QUIXERE,0.28%,0.65%,2.42%,0.56%
REDENCAO,0.33%,1.8%,4.53%,2.73%
RERIUTABA,0.69%,0.35%,3.21%,1.39%
RUSSAS,0.31%,1.35%,5%,2.38%
SABOEIRO,1.01%,2.68%,4.86%,3.18%
SALITRE,0.56%,0.88%,2.7%,1.59%
SANTA QUITERIA,2.71%,1.87%,10.6%,2.76%
SANTANA DO ACARAU,1.04%,1.96%,5.24%,2.93%
SANTANA DO CARIRI,0.24%,0.83%,2.38%,2.14%
SAO BENEDITO,0.88%,3.05%,6.66%,4.33%
SAO GONCALO DO AMARANTE,0.76%,2.18%,5.09%,3.75%
SAO JOAO DO JAGUARIBE,2.43%,1.21%,14.57%,1.21%
SAO LUIS DO CURU,0.39%,2.33%,4.27%,3.11%
SENADOR POMPEU,0.63%,1.8%,5.17%,2.53%
SENADOR SA,1.53%,3.29%,5.45%,4.36%
SOBRAL,0.69%,1.02%,3.09%,1.19%
SOLONOPOLE,3.35%,5.7%,9.72%,6.53%
TABULEIRO DO NORTE,0.28%,1.7%,5.28%,2.36%
TAMBORIL,1.03%,3.25%,9.25%,4.19%
TARRAFAS,0.44%,1.33%,2.65%,1.77%
TAUA,1.12%,2.55%,6.64%,3.72%
TEJUCUOCA,0.73%,1.74%,6.46%,1.91%
TIANGUA,1.12%,7.08%,3.78%,8.68%
TRAIRI,0.88%,2.25%,6.16%,3.57%
TURURU,0.61%,1.94%,7.26%,4.29%
UBAJARA,0.8%,1.27%,6.24%,1.68%
UMARI,0.32%,0.95%,2.53%,1.9%
UMIRIM,1.08%,2.79%,6.31%,4.41%
URUBURETAMA,0.48%,1.64%,5.4%,2.12%
URUOCA,0.54%,0.82%,4.9%,1.5%
VARJOTA,0.79%,1.89%,5.16%,2.48%
VARZEA ALEGRE,0.59%,1.54%,3.07%,2.42%
VICOSA DO CEARA,0.62%,1.7%,5.06%,2.2%
