ano (uid);ano (nome);local (uid);local (nome);indicador (uid);indicador (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);lococor (uid);lococor (nome);atestante (uid);atestante (nome);grupoetario (uid);grupoetario (nome);racacor (uid);racacor (nome);sexo (uid);sexo (nome);abrangencia (uid);abrangencia (nome);localidade (uid);localidade (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;3;Unidade da federação;21;Maranhão;124;119;136;148;134;144;130;124;130;134;96;147;1.566
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;3;Unidade da federação;22;Piauí;61;70;72;75;62;58;57;67;53;67;61;52;755
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;3;Unidade da federação;23;Ceará;140;143;135;154;134;135;128;141;103;144;123;109;1.589
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;6;Macrorregião de saúde;2306;5ª Macro - Litoral Leste/Jaguaribe;3;2;0;1;3;2;2;2;0;2;0;1;18
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;7;Região de saúde;23007;07ª Região Aracati;0;1;0;1;0;1;0;0;0;1;0;0;4
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230110;Aracati;0;1;0;1;0;1;0;0;0;1;0;0;4
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230445;Fortim;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230535;Icapuí;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230620;Itaiçaba;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;7;Região de saúde;23009;09ª Região Russas;1;0;0;0;1;0;0;1;0;1;0;1;5
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230670;Jaguaretama;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230700;Jaguaruana;1;0;0;0;0;0;0;0;0;0;0;0;1
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230870;Morada Nova;0;0;0;0;0;0;0;1;0;1;0;0;2
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231000;Palhano;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231180;Russas;0;0;0;0;1;0;0;0;0;0;0;1;2
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;7;Região de saúde;23010;10ª Região Limoeiro do Norte;2;1;0;0;2;1;2;1;0;0;0;0;9
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230070;Alto Santo;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230427;Ereré;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230600;Iracema;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230680;Jaguaribara;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230690;Jaguaribe;0;0;0;0;0;1;0;1;0;0;0;0;2
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230760;Limoeiro do Norte;2;1;0;0;2;0;2;0;0;0;0;0;7
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231080;Pereiro;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231123;Potiretama;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231150;Quixeré;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231250;São João do Jaguaribe;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231310;Tabuleiro do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;6;Macrorregião de saúde;2307;4ª Macro - Sertão Central;5;7;5;12;9;5;2;5;5;4;9;7;75
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;7;Região de saúde;23005;05ª Região Canindé;0;1;0;5;0;1;0;1;0;1;1;1;11
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230240;Boa Viagem;0;0;0;1;0;0;0;0;0;0;0;0;1
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230280;Canindé;0;1;0;4;0;1;0;1;0;1;1;1;10
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230300;Caridade;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230660;Itatira;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230763;Madalena;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231040;Paramoti;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;7;Região de saúde;23008;08ª Região Quixadá;4;4;3;7;8;4;2;4;4;3;6;6;55
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230185;Banabuiú;0;0;0;0;1;0;0;0;0;0;0;0;1
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230393;Choró;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230526;Ibaretama;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230533;Ibicuitinga;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230835;Milhã;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231050;Pedra Branca;0;0;0;1;0;0;0;0;0;0;0;0;1
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231130;Quixadá;3;3;2;4;5;0;1;1;1;2;1;3;26
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231140;Quixeramobim;0;1;0;2;2;4;1;3;3;1;5;3;25
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231270;Senador Pompeu;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231300;Solonópole;1;0;1;0;0;0;0;0;0;0;0;0;2
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;7;Região de saúde;23014;14ª Região Tauá;1;2;2;0;1;0;0;0;1;0;2;0;9
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230040;Aiuaba;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230150;Arneiroz;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231030;Parambu;0;1;0;0;0;0;0;0;0;0;1;0;2
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231330;Tauá;1;1;2;0;1;0;0;0;1;0;1;0;7
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;6;Macrorregião de saúde;2308;3ª Macro - Cariri;14;20;17;21;20;20;22;20;19;23;15;21;232
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;7;Região de saúde;23017;17ª Região Icó;1;2;0;1;0;1;0;0;1;0;1;0;7
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230180;Baixio;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230380;Cedro;1;0;0;0;0;0;0;0;0;0;0;0;1
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230540;Icó;0;2;0;0;0;1;0;0;0;0;0;0;3
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230570;Ipaumirim;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230750;Lavras da Mangabeira;0;0;0;0;0;0;0;0;0;0;1;0;1
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230950;Orós;0;0;0;1;0;0;0;0;1;0;0;0;2
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231370;Umari;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;7;Região de saúde;23018;18ª Região Iguatú;2;3;2;0;3;1;2;3;3;4;0;3;26
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230030;Acopiara;1;0;0;0;0;0;0;1;0;0;0;0;2
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230330;Cariús;0;1;0;0;0;0;0;0;0;0;0;0;1
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230360;Catarina;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230426;Deputado Irapuan Pinheiro;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230550;Iguatu;0;2;2;0;3;0;2;2;3;3;0;3;20
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230740;Jucás;0;0;0;0;0;1;0;0;0;1;0;0;2
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230850;Mombaça;1;0;0;0;0;0;0;0;0;0;0;0;1
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231090;Piquet Carneiro;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231135;Quixelô;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231190;Saboeiro;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;7;Região de saúde;23019;19ª Região Brejo Santo;0;1;2;1;0;1;7;1;2;3;0;2;20
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230010;Abaiara;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230170;Aurora;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230200;Barro;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230250;Brejo Santo;0;1;2;1;0;1;6;0;1;2;0;1;15
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230720;Jati;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230810;Mauriti;0;0;0;0;0;0;0;0;1;1;0;0;2
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230830;Milagres;0;0;0;0;0;0;1;1;0;0;0;0;2
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231060;Penaforte;0;0;0;0;0;0;0;0;0;0;0;1;1
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;231110;Porteiras;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;7;Região de saúde;23020;20ª Região Crato;4;5;5;4;10;6;3;6;4;8;6;5;66
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230060;Altaneira;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230080;Antonina do Norte;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230130;Araripe;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230160;Assaré;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230270;Campos Sales;0;0;0;0;1;1;0;1;0;2;0;0;5
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230420;Crato;3;3;5;4;7;5;3;5;3;6;5;5;54
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230430;Farias Brito;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;2019;2;Óbitos por ocorrência;400011;Óbitos totais;1;Notificação de óbitos infantis e fetais;1;Número de óbitos;0;Todos;0;Todos;4006;Infantil;0;Todos;0;Todos;8;Município;230920;Nova Olinda;0;1;0;0;0;0;0;0;0;0;0;0;1
